TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_NAME,COLLATION_NAME,COLUMN_TYPE,COLUMN_KEY,EXTRA,PRIVILEGES,COLUMN_COMMENT,GENERATION_EXPRESSION,SRS_ID
def,abccompany,emp_dept_history,DeptID,2,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,emp_dept_history,EndTime,4,NULL,YES,datetime,NULL,NULL,NULL,NULL,0,NULL,NULL,datetime,,,"select,insert,update",,,NULL
def,abccompany,emp_dept_history,Personal_ID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,emp_dept_history,StartTime,3,NULL,NO,datetime,NULL,NULL,NULL,NULL,0,NULL,NULL,datetime,PRI,,"select,insert,update",,,NULL
def,abccompany,employee,DeptID,7,NULL,YES,int,NULL,NULL,10,0,NULL,NULL,NULL,int,MUL,,"select,insert,update",,,NULL
def,abccompany,employee,Personal_ID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,employee,Ranked,2,NULL,YES,varchar,40,160,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(40),,,"select,insert,update",,,NULL
def,abccompany,employee,SalaryAmount,4,NULL,YES,decimal,NULL,NULL,10,2,NULL,NULL,NULL,"decimal(10,2)",,,"select,insert,update",,,NULL
def,abccompany,employee,SalaryPayDate,6,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,NULL,NULL,date,,,"select,insert,update",,,NULL
def,abccompany,employee,SalaryTransactionNo,5,NULL,YES,varchar,30,120,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(30),,,"select,insert,update",,,NULL
def,abccompany,employee,Supervisor_ID,8,NULL,YES,int,NULL,NULL,10,0,NULL,NULL,NULL,int,MUL,,"select,insert,update",,,NULL
def,abccompany,employee,Title,3,NULL,YES,varchar,60,240,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(60),,,"select,insert,update",,,NULL
def,abccompany,interview,Candidate_ID,2,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,MUL,,"select,insert,update",,,NULL
def,abccompany,interview,Grade,5,NULL,YES,varchar,10,40,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(10),,,"select,insert,update",,,NULL
def,abccompany,interview,Interviewer_ID,6,NULL,YES,int,NULL,NULL,10,0,NULL,NULL,NULL,int,MUL,,"select,insert,update",,,NULL
def,abccompany,interview,InterviewID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,auto_increment,"select,insert,update",,,NULL
def,abccompany,interview,InterviewTime,4,NULL,YES,datetime,NULL,NULL,NULL,NULL,0,NULL,NULL,datetime,,,"select,insert,update",,,NULL
def,abccompany,interview,JobID,3,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,MUL,,"select,insert,update",,,NULL
def,abccompany,job_application,ApplyDate,3,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,NULL,NULL,date,,,"select,insert,update",,,NULL
def,abccompany,job_application,JobID,2,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,job_application,Personal_ID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,job_position,DeptID,3,NULL,YES,int,NULL,NULL,10,0,NULL,NULL,NULL,int,MUL,,"select,insert,update",,,NULL
def,abccompany,job_position,Description,2,NULL,YES,varchar,200,800,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(200),,,"select,insert,update",,,NULL
def,abccompany,job_position,JobID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,job_position,PostedDate,4,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,NULL,NULL,date,,,"select,insert,update",,,NULL
def,abccompany,part,PartID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,part,PartName,2,NULL,YES,varchar,80,320,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(80),,,"select,insert,update",,,NULL
def,abccompany,part,PartWeight,3,NULL,YES,decimal,NULL,NULL,10,2,NULL,NULL,NULL,"decimal(10,2)",,,"select,insert,update",,,NULL
def,abccompany,person,AddLine1,7,NULL,YES,varchar,100,400,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(100),,,"select,insert,update",,,NULL
def,abccompany,person,AddLine2,8,NULL,YES,varchar,100,400,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(100),,,"select,insert,update",,,NULL
def,abccompany,person,Age,5,NULL,YES,int,NULL,NULL,10,0,NULL,NULL,NULL,int,,,"select,insert,update",,,NULL
def,abccompany,person,City,9,NULL,YES,varchar,50,200,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(50),,,"select,insert,update",,,NULL
def,abccompany,person,EmailAdd,13,NULL,YES,varchar,80,320,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(80),,,"select,insert,update",,,NULL
def,abccompany,person,Fname,2,NULL,NO,varchar,40,160,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(40),,,"select,insert,update",,,NULL
def,abccompany,person,Gender,6,NULL,YES,varchar,10,40,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(10),,,"select,insert,update",,,NULL
def,abccompany,person,Lname,4,NULL,NO,varchar,40,160,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(40),,,"select,insert,update",,,NULL
def,abccompany,person,Mname,3,NULL,YES,varchar,40,160,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(40),,,"select,insert,update",,,NULL
def,abccompany,person,Personal_ID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,auto_increment,"select,insert,update",,,NULL
def,abccompany,person,PhoneNum,12,NULL,YES,varchar,20,80,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(20),,,"select,insert,update",,,NULL
def,abccompany,person,State,10,NULL,YES,varchar,50,200,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(50),,,"select,insert,update",,,NULL
def,abccompany,person,Zipcode,11,NULL,YES,varchar,10,40,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(10),,,"select,insert,update",,,NULL
def,abccompany,potential_employee,Personal_ID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,product,ListPrice,4,NULL,YES,decimal,NULL,NULL,10,2,NULL,NULL,NULL,"decimal(10,2)",,,"select,insert,update",,,NULL
def,abccompany,product,ProductID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,product,ProductType,2,NULL,YES,varchar,40,160,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(40),,,"select,insert,update",,,NULL
def,abccompany,product,Size,3,NULL,YES,varchar,40,160,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(40),,,"select,insert,update",,,NULL
def,abccompany,product,Style,6,NULL,YES,varchar,40,160,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(40),,,"select,insert,update",,,NULL
def,abccompany,product,Weight,5,NULL,YES,decimal,NULL,NULL,10,2,NULL,NULL,NULL,"decimal(10,2)",,,"select,insert,update",,,NULL
def,abccompany,product_part,PartID,2,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,product_part,ProductID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,product_part,Quantity,3,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,,,"select,insert,update",,,NULL
def,abccompany,purchase_from,JobID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,purchase_from,PostedDate,3,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,NULL,NULL,date,,,"select,insert,update",,,NULL
def,abccompany,purchase_from,VendorID,2,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,salary,Amount,4,NULL,NO,decimal,NULL,NULL,10,2,NULL,NULL,NULL,"decimal(10,2)",,,"select,insert,update",,,NULL
def,abccompany,salary,PayDate,3,NULL,NO,date,NULL,NULL,NULL,NULL,NULL,NULL,NULL,date,,,"select,insert,update",,,NULL
def,abccompany,salary,Personal_ID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,salary,TransactionNo,2,NULL,NO,varchar,30,120,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(30),PRI,,"select,insert,update",,,NULL
def,abccompany,sale_history,Customer_ID,2,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,MUL,,"select,insert,update",,,NULL
def,abccompany,sale_history,ProductID,3,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,MUL,,"select,insert,update",,,NULL
def,abccompany,sale_history,SaleID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,auto_increment,"select,insert,update",,,NULL
def,abccompany,sale_history,SalesTime,4,NULL,NO,datetime,NULL,NULL,NULL,NULL,0,NULL,NULL,datetime,,,"select,insert,update",,,NULL
def,abccompany,site,SiteID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,site,SiteLocation,3,NULL,YES,varchar,120,480,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(120),,,"select,insert,update",,,NULL
def,abccompany,site,SiteName,2,NULL,NO,varchar,80,320,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(80),,,"select,insert,update",,,NULL
def,abccompany,supplies,LastPurchaseDate,3,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,NULL,NULL,date,,,"select,insert,update",,,NULL
def,abccompany,supplies,PartID,2,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,supplies,UnitPrice,4,NULL,YES,decimal,NULL,NULL,10,2,NULL,NULL,NULL,"decimal(10,2)",,,"select,insert,update",,,NULL
def,abccompany,supplies,VendorID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,tracks,Customer_ID,2,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,tracks,Employee_ID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,tracks,ProductID,3,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,vendor,AccNo,4,NULL,YES,varchar,30,120,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(30),,,"select,insert,update",,,NULL
def,abccompany,vendor,Address,3,NULL,YES,varchar,150,600,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(150),,,"select,insert,update",,,NULL
def,abccompany,vendor,CreditRating,5,NULL,YES,varchar,20,80,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(20),,,"select,insert,update",,,NULL
def,abccompany,vendor,Name,2,NULL,NO,varchar,80,320,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(80),,,"select,insert,update",,,NULL
def,abccompany,vendor,PurchasingWSURL,6,NULL,YES,varchar,200,800,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(200),,,"select,insert,update",,,NULL
def,abccompany,vendor,VendorID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,view1,AvgMonthlySalary,2,NULL,YES,decimal,NULL,NULL,14,6,NULL,NULL,NULL,"decimal(14,6)",,,"select,insert,update",,,NULL
def,abccompany,view1,Personal_ID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,,,"select,insert,update",,,NULL
def,abccompany,view2,Candidate_ID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,,,"select,insert,update",,,NULL
def,abccompany,view2,JobID,2,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,,,"select,insert,update",,,NULL
def,abccompany,view2,PassedRounds,3,0,NO,bigint,NULL,NULL,19,0,NULL,NULL,NULL,bigint,,,"select,insert,update",,,NULL
def,abccompany,view3,NumItemsSold,2,0,NO,bigint,NULL,NULL,19,0,NULL,NULL,NULL,bigint,,,"select,insert,update",,,NULL
def,abccompany,view3,ProductType,1,NULL,YES,varchar,40,160,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(40),,,"select,insert,update",,,NULL
def,abccompany,view4,PartPurchaseCost,2,NULL,YES,decimal,NULL,NULL,42,2,NULL,NULL,NULL,"decimal(42,2)",,,"select,insert,update",,,NULL
def,abccompany,view4,ProductID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,,,"select,insert,update",,,NULL
def,abccompany,works_on,Personal_ID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,works_on,SiteID,2,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
